Gene,Pt1.baseline,Pt2.baseline,Pt4.baseline,Pt5.baseline,Pt6.baseline,Pt7.baseline,Pt8.baseline,Pt9.baseline,Pt10.baseline,Pt12.baseline,Pt13.baseline,Pt14.baseline,Pt15.baseline,Pt16.OnTx,Pt19.baseline,Pt20.baseline,Pt22.baseline,Pt23.baseline,Pt25.baseline,Pt27A.baseline,Pt27B.baseline,Pt28.baseline,Pt29.baseline,Pt31.baseline,Pt32.baseline,Pt35.baseline,Pt37.baseline,Pt38.baseline
ACSL4,26.30695,19.97315,10.7358,32.9761,70.17855,18.2984,11.58635,19.1523,16.16865,13.7703,21.61755,35.10655,15.00625,21.63,8.548635,17.04055,22.16065,14.9729,6.067555,15.8896,14.74245,11.66475,16.9638,3.79588,6.37242,7.8968,3.32561,9.74867
ACTA2,247.5425,27.27385,81.9792,46.2206,38.97475,15.14035,66.6384,70.86025,135.036,79.26,143.03,63.5299,33.81105,86.1559,97.35765,22.8648,612.784,231.3215,85.45785,28.3336,11.13645,50.3297,53.88805,273.735,87.0742,53.3532,16.2682,63.4759
ALOX15,0.0259876,0.122509,0.236555,0.0,0.10188065,0.0105425,0.01694605,0.02529045,0.2036535,0.05704965,0.1605125,0.004888845,0.020263,0.0,0.0,0.0134516,0.2659725,0.01683265,0.0489174,0.0,0.0366282,0.7615875,0.031666,0.0,0.0,0.0250856,0.0,0.369992
ALOX5,7.16227,5.94937,2.18385,0.5415235,3.63473,2.103375,4.016335,4.58316,3.4844,3.13521,16.80375,6.161785,4.20885,6.24183,3.546505,9.81434,9.262155,13.95105,1.95542,10.9758,8.1788,5.093195,4.649315,2.51029,4.00733,1.62925,0.707754,41.2133
ANGPT2,4.81865,0.4872475,4.698715,0.8437655,0.7222245,2.297715,3.289635,1.20942,7.056385,1.309205,3.60376,4.051105,0.7683305,8.27084,0.3591805,0.5030075,11.86045,6.158825,0.997779,0.9329375,0.4606965,1.462615,0.933973,1.94592,1.91144,1.79191,0.309702,1.25433
B2M,5472.275,9312.395,2702.485,6289.585,5305.055,2830.75,5952.075,6642.23,1813.26,4154.61,7692.075,2906.77,3834.25,2169.73,3998.135,24208.4,6898.495,5118.39,4493.18,7645.805,5669.715,2872.515,7579.205,1524.35,786.479,2877.7,1906.8,5535.0
CCL5,36.8325,35.10475,26.5139,3.19711,5.054545,13.1006,24.622,43.04195,3.8094,4.460035,77.61005,24.9551,29.8903,55.0618,77.1773,466.4515,66.2786,92.46475,123.9775,50.00445,19.29525,14.25845,47.58255,170.096,142.72,40.1265,107.924,184.596
CCR5,5.774995,4.456,2.87354,0.345139,0.601837,1.451495,2.53194,3.70378,0.887683,1.019691,16.1214,3.049675,3.732695,1.55135,2.445675,20.25315,9.95807,6.313835,2.74101,7.19989,4.226515,1.604715,6.685,1.82379,1.38213,2.05835,2.13192,9.43374
CD274,1.881535,4.24257,2.93628,0.5086155,0.54891,0.5106195,1.28329,1.3101,0.133397,0.3975535,2.93939,19.9527,0.764706,1.74672,1.244045,6.65066,3.60335,1.93972,0.9930095,3.12477,2.41342,8.34258,2.1941,1.47794,0.255091,1.9206,1.3774,7.80844
CD276,99.4963,13.5159,40.9037,158.44,134.8875,58.4843,42.11915,40.13875,62.0103,107.597,40.93165,36.41215,24.47705,36.7645,87.13035,33.7015,40.19455,44.31535,45.18205,47.5266,48.29305,34.85235,34.61225,128.117,112.936,47.5082,45.6676,27.3305
CD3D,10.9849,10.96395,8.237635,0.2064695,0.674883,3.395575,4.144155,16.6912,0.2223835,1.284755,20.36035,3.087035,11.9255,2.54751,14.46235,122.6715,22.1532,12.79905,41.1704,12.37945,4.66352,23.90795,25.10245,6.20549,4.42062,5.2516,11.362,74.7504
CD3E,15.55775,12.5573,8.834175,0.495922,1.46896,1.856975,5.103375,13.7969,0.234244,0.985018,21.3479,4.307765,9.284645,3.75527,26.0314,70.8779,24.2526,11.19725,39.4377,13.51595,4.66562,14.29595,17.25385,12.1776,7.17754,6.84133,17.535,93.4283
CD4,25.24405,28.38535,15.9943,29.49855,16.43755,19.3612,14.0007,16.90475,4.86933,10.09824,43.5507,19.3343,18.00275,10.9204,29.2329,42.40955,49.78965,28.64145,34.15465,38.43475,27.69785,11.1131,34.50035,11.9753,10.1314,10.4917,9.03832,54.6734
CD8A,7.00098,9.69127,7.42183,0.2865125,0.607793,3.045665,4.498105,11.261,0.8522255,0.4246825,25.24695,3.67429,10.9957,2.64707,9.030915,109.7785,17.4341,18.65465,27.67365,15.94345,5.03432,0.883874,20.07965,3.77811,2.61114,9.43762,10.0838,28.8786
CD8B,6.090885,6.40791,1.873495,0.17125615,0.1342965,1.383865,1.85501,5.80351,0.0914652,0.135278,8.48311,0.9439965,5.757095,1.16997,6.46687,61.5138,5.165075,8.221565,18.18445,4.9254,1.495925,0.816621,10.284755,2.58045,1.90193,3.88649,3.61138,12.7807
CHAC1,2.592925,4.819795,3.81574,7.168375,1.365135,0.5263665,2.800395,1.737175,2.201115,3.38715,1.244065,8.09735,12.10345,30.9223,36.4471,3.14836,2.3091,7.469625,95.45625,3.26349,1.711565,14.5658,22.9297,20.6433,6.80801,10.4582,22.3212,2.62346
COL1A1,802.0145,25.3731,27.34475,58.57525,330.6435,64.9925,455.759,157.7165,498.222,425.423,813.465,1091.935,82.9406,155.855,2314.45,66.77695,2690.855,572.2595,111.1945,461.789,298.0075,190.0385,51.54355,1981.04,1512.39,222.405,46.4197,41.1144
COL3A1,414.6225,36.2719,67.9646,49.02895,396.8935,86.31565,371.8375,194.513,626.3655,670.6495,586.575,563.1595,139.804,162.408,568.751,75.15705,2008.255,444.9115,109.046,248.962,177.857,233.549,128.121,267.281,639.59,116.439,14.3663,19.9956
CTLA4,2.38488,1.666635,0.936275,1.168182,44.0416,4.58479,0.328441,1.2272,58.9887,9.484185,3.936595,1.036325,4.685615,15.8616,9.633755,7.462315,1.787015,2.87104,2.30777,1.615455,1.000145,5.32473,3.447635,3.55465,1.99954,1.03474,1.04812,7.54124
CXCL10,22.19125,88.3122,31.0614,0.308638,1.316265,13.2457,18.193,81.9624,1.9661,2.267605,103.7555,83.0241,39.6731,3.35957,5.894285,299.9995,182.2225,119.311,28.67715,138.9905,75.4822,2.878305,82.0238,16.5091,3.63272,35.6379,7.83297,51.4718
CXCL11,4.110485,10.16469,2.95,0.02778295,0.283846,1.076395,1.89461,12.1856,0.2571315,0.1947707,15.0109,13.57565,3.805965,0.896734,0.6433045,35.96585,23.25485,18.55075,3.295495,36.2898,14.1998,0.514307,7.4411,2.65354,2.11583,4.38868,0.913479,6.4602
CXCL9,76.7895,76.20455,28.1586,0.5716945,1.0456375,12.75235,12.05625,47.42195,0.4924015,0.9011685,73.36465,14.69305,34.2655,3.50433,14.07405,458.8215,199.2,39.2979,43.92145,145.728,89.7758,2.317405,104.251,5.71363,6.5786,37.6835,11.8506,155.079
CXCR3,4.738945,2.45545,1.60451,0.09735095,0.15373,0.5237325,1.539595,4.251005,0.1187175,0.2490315,5.72913,1.402455,2.67697,0.668826,13.03445,32.17175,7.067745,2.319255,7.728705,5.692585,1.99864,1.1799275,3.192455,3.95666,1.50201,2.26854,2.76979,26.8542
FAP,25.8957,2.217205,0.9549865,2.14855,21.29495,12.2899,15.11165,7.00983,18.2196,46.23845,16.6447,9.851955,2.85356,5.76945,6.68589,2.82152,29.95755,15.2056,1.392165,13.56365,22.57045,4.56821,12.65895,4.38226,40.3664,2.16971,0.343272,1.36948
FTH1,2243.63,1562.325,1405.935,1566.385,800.9,1263.75,1826.965,1404.98,1374.315,895.7345,1114.52,571.8385,1674.015,4515.0,4896.07,2249.215,1600.625,1981.13,4413.02,2697.225,2274.24,837.455,544.0765,5448.06,1848.24,5378.59,11947.4,2167.38
FTL,4350.25,5220.135,2942.33,2298.45,2222.405,4342.6,4916.915,3013.64,1907.495,2336.185,2569.425,2941.675,6745.54,6628.55,13003.4,7741.98,6116.75,12497.55,9186.24,2791.275,2022.755,1129.14,2046.875,11438.3,4373.63,9669.2,6352.39,2390.66
GCLC,10.59525,15.80035,17.9856,17.5073,9.29142,8.23427,7.359625,6.593755,5.010755,3.15188,5.46108,7.07804,6.78244,6.36506,5.409275,14.2026,9.4821,8.79146,6.290535,9.758035,10.1052,8.42071,17.54295,2.34451,2.73069,9.69824,5.15897,6.25909
GCLM,7.269685,4.6789,2.222815,4.62834,3.92002,2.966655,7.74435,3.065095,3.297305,1.793125,4.334225,14.05925,4.676555,4.8832,3.851785,3.01103,4.72356,6.21279,1.179465,4.296765,4.16268,3.991615,4.14006,7.29919,2.89119,13.735,4.26566,4.0392
GPX4,235.1825,244.198,95.76165,223.0985,132.5255,231.321,300.129,292.7055,225.2935,102.243,114.498,296.0475,165.6285,400.697,901.519,255.1965,171.186,211.228,557.7075,150.7655,117.9185,81.12955,126.2035,297.356,430.715,183.233,663.187,242.246
GZMA,11.86535,9.96338,7.11788,0.285274,1.0451535,3.13212,4.506225,15.29485,0.485512,3.386,22.20425,7.79974,9.547845,2.25088,6.913545,107.8725,23.523,12.122,30.63615,18.0496,6.22141,2.38004,22.48915,2.70688,13.0313,5.20895,9.06154,22.6031
GZMB,3.174675,1.843615,3.693145,0.07283085,0.7197545,5.512425,2.8525,8.935305,0.8054345,0.8321615,16.7936,5.519815,5.15781,2.40044,2.29379,37.84795,6.729665,9.556485,11.3658,9.95974,3.57411,1.47193,3.25366,6.42986,2.57733,3.76667,2.79486,78.6715
HAVCR2,7.23638,9.42337,4.521855,1.49079,7.887245,4.32789,10.7794,4.19209,3.728935,3.77725,22.67175,7.949025,6.638455,6.26245,4.615085,17.9235,16.5763,23.09625,8.03434,12.4636,7.971555,1.93345,10.00943,6.93946,2.34913,3.95292,3.65624,10.8311
HLA-A,48.5292,309.3395,25.5247,93.525,10.4772,2.113045,171.467,476.569,1.07606,43.35865,22.20355,144.8745,158.7,1.74526,321.8695,1179.435,68.1776,209.483,13.4306,487.4195,271.152,32.7714,4.90833,226.804,23.5559,187.097,332.968,4.23641
HLA-B,175.615,409.8515,23.05,88.6871,9.660075,70.69515,194.345,53.64365,125.8845,5.6137,453.027,22.16735,41.9878,10.5647,296.5445,302.5725,78.1016,125.583,177.531,208.1145,129.079,115.557,50.40035,29.8325,15.2868,231.41,88.4098,45.6222
HLA-C,12.38585,171.221,1.590445,108.988,6.46464,4.56119,17.8053,12.59385,5.688975,5.382395,32.47305,25.72765,34.60845,2.03461,101.4715,138.879,6.0218,9.26061,23.7669,4.08661,2.45472,6.13653,2.96165,37.3399,8.03487,77.6905,12.142,11.4356
HLA-DPA1,6.11659,15.38865,6.13181,5.324945,9.908505,8.382775,4.023445,17.66255,1.930685,2.78617,34.06925,13.2391,9.77948,2.26375,42.8731,31.1329,19.87755,18.4777,17.5408,19.1348,12.0969,5.68786,22.01505,2.26457,2.23948,3.47812,2.67344,23.9761
HLA-DPB1,2.05065,3.936495,1.97845,0.6072375,2.785575,1.11096,1.250635,2.82544,0.208893,0.9646635,11.1344,1.0004365,3.03563,0.814451,1.573615,18.92655,7.037215,8.99568,8.392145,3.91241,2.101055,1.301315,7.22308,0.789197,1.53294,1.49497,1.16931,3.53493
HLA-DQA1,68.59235,194.704,0.4484955,10.38815,40.19535,15.47855,28.60125,68.86655,3.22299,5.14567,162.709,34.69825,45.21665,8.40731,69.76885,297.6975,121.997,0.2118455,126.1365,103.69585,63.8673,34.02455,58.7001,5.31801,8.00473,32.9421,8.05811,81.0719
HLA-DQB1,83.15575,271.8575,0.4930045,13.3746,64.30005,13.9373,52.2122,78.2386,5.08993,1.18227,217.2215,7.14898,16.57295,2.51948,126.709,88.5383,144.2055,0.319346,219.893,31.8561,23.8264,22.4638,14.734,4.12353,1.18,11.2398,2.32315,51.8645
HLA-DRA,68.2648,61.3027,7.247375,1.41151,11.4421,13.09915,26.617,8.90634,1.22368,2.02187,120.402,5.971595,13.1623,2.2768,51.911,58.42355,76.92595,57.49265,76.4914,13.29895,8.792755,3.364425,17.8344,1.59344,1.50257,2.11548,1.66034,18.4396
HLA-DRB1,179.389,303.169,3.72997,1.725915,2.696075,1.860455,119.1345,8.00873,0.5992715,2.193125,748.8665,60.3409,155.013,3.95741,243.727,617.4245,402.698,16.73125,389.0435,205.9965,131.773,76.67255,13.1111,3.35281,14.2662,51.1397,5.63211,43.0315
HLA-E,10.67105,20.6025,11.3549,13.90015,15.63135,6.07809,18.165,16.29805,2.286295,5.22195,25.9229,10.03231,32.19135,7.57806,12.47925,52.68765,24.5692,22.9965,48.18045,23.34645,16.3117,19.88075,17.99215,7.6924,3.0092,7.86795,13.361,19.9751
HMOX1,31.36475,39.8864,16.98615,9.68538,24.8237,39.1555,201.0755,16.7491,30.5745,41.1101,44.8833,34.2954,80.9784,48.3502,107.2915,99.11,237.176,148.3015,68.3477,29.6745,12.62675,119.9185,22.962,198.034,30.4631,46.7177,31.3177,40.0921
IFNG,0.640126,2.52885,1.2876405,0.0,0.659983,0.535986,0.247284,1.1354755,0.0,0.0,3.46001,2.05526,0.9682765,0.248856,1.757625,15.03065,2.080235,3.10792,0.88271,1.81075,0.73143,0.080803,1.706875,0.0853789,0.185171,0.872979,0.386419,2.55842
IL10,1.19622,0.8141815,0.6639615,0.462927,0.4473065,0.251055,0.8903935,0.782418,1.958685,6.40133,1.132381,1.33709,0.6740995,1.59016,0.2713585,1.825375,1.394995,2.866155,0.727682,0.587431,0.474926,0.4214135,0.916856,0.535971,1.76732,0.153863,0.265993,1.72346
IL12A,0.4031875,0.222805,0.1988415,0.4576245,0.078429,0.0486157,0.1753475,0.4362015,2.785835,0.1116986,0.3369475,0.99227,0.363948,0.124773,0.0619201,0.6659375,0.3013025,1.066975,0.07925205,0.0683254,0.01279235,0.071968,0.1647025,0.264244,0.28135,0.0837854,0.735013,1.37397
IL2,0.07146005,0.1075905,0.0,0.0,0.0330814,0.0,0.057652,0.179698,0.0,0.0,0.062709,0.0,0.0843548,0.0,0.069441,0.1559085,0.1733845,0.0,0.0,0.0225922,0.0255856,0.09249755,0.033408,0.0,0.0,0.0,0.0,0.339784
IL6,1.824175,0.385543,0.1471375,0.1598715,0.2274875,0.6573375,9.351175,2.44995,21.79745,1.431905,32.7272,5.44671,3.222985,15.1565,0.634044,1.292325,4.659765,1.199565,0.2271805,0.4385145,0.0658629,3.376635,0.5577575,8.19674,0.146261,0.107612,0.234858,28.4542
LAG3,1.492535,2.48846,1.67606,0.0416222,0.2197135,1.72422,2.71531,3.78104,0.483256,0.5094285,7.5689,3.277965,8.663995,1.40898,10.97416,44.1066,4.603405,7.76288,32.80015,11.66055,4.367795,1.3960805,4.666025,6.5636,2.11817,4.1575,7.25003,21.655
LPCAT3,11.6794,33.33885,18.7809,11.0504,9.91816,18.6248,24.18865,13.33605,30.7421,16.5294,24.45075,10.6763,12.46445,13.9082,36.70775,24.7857,27.81105,14.82615,16.7506,17.8402,14.85285,42.36165,12.9216,20.287,19.4357,16.5158,9.28079,16.5207
MT1G,0.98189,2137.81,7.8736,0.89508,1.590535,4.47994,63.5732,17.08085,8.744125,1.659155,6.93197,12.9793,6.019115,30.4942,1.71157,6.061715,3.964255,14.191,3.765135,7.100255,0.827951,70.44145,3.338215,2.95902,0.577856,1.54372,1.07712,0.893701
MT1H,0.4220435,444.886,0.100224,0.2242185,0.0780285,0.0,2.344158,2.974565,2.377885,0.115379,1.50086,11.114,0.136991,2.03609,0.0,3.190765,2.33966,2.4601,1.3116765,0.2106915,0.0,16.4621,0.2196355,0.0,0.0,0.0,0.526279,0.0
MT1M,2.003785,119.625,0.0760695,0.1203845,0.422123,5.74518,64.618,25.7195,6.67659,6.207715,9.118725,7.94932,4.678785,3.98161,0.0,1.670369,5.980345,21.5588,3.16986,1.14587,0.093095,11.278595,0.70879,1.94224,3.87251,0.929538,0.0,1.44902
NFE2L2,78.72045,67.1034,61.57555,48.52685,52.5474,63.32225,51.0018,42.35135,110.119,65.3281,70.86645,26.0685,35.6826,85.6098,34.65925,50.9186,57.59185,32.4222,15.18145,42.31845,42.4717,77.5772,32.7519,20.0814,51.3113,48.9086,26.3519,28.4885
NOX1,0.07274615,0.0159207,0.0095227,0.04986565,0.0161927,0.04102405,0.01631825,0.0724154,0.02942425,0.01995295,0.01606305,0.07912675,0.0275922,0.0397852,0.0,0.07789405,0.0,0.0551984,0.149597,0.02085195,0.0,0.0717945,0.0476742,0.0,0.0381042,0.0534836,0.0,0.102623
NOX4,5.70623,0.2224145,0.2283035,0.218199,4.380955,1.65681,9.785645,0.599441,0.8183175,0.898802,1.36001,4.169495,23.49565,12.4078,3.306345,0.6739405,2.370925,11.1979,6.02237,3.470675,1.719875,0.404839,9.56102,1.07461,4.83139,0.29511,0.163259,1.66656
PDCD1,0.630077,1.648965,1.26142,0.01803645,0.2584835,0.4815565,0.8371665,1.76623,0.02403015,0.1062897,4.497185,0.980459,3.07973,0.760427,3.963735,23.8054,2.39958,5.920685,10.29058,2.937585,1.348185,0.946641,5.0243,1.12976,0.639695,1.63199,2.32338,15.1792
PDCD1LG2,2.46683,4.17899,2.938445,0.340789,1.682265,0.384062,1.0861155,1.49998,0.645407,0.731497,4.502545,14.7841,2.043595,1.11973,0.6401645,6.015035,4.37693,3.331975,1.5232,3.85648,2.973365,1.347965,4.547305,0.494502,0.938083,1.03501,0.646933,2.4144
PRF1,3.877755,2.08039,3.670635,0.301207,1.61564,1.642535,2.524545,4.243715,0.486919,1.56383,6.996015,3.952895,4.720615,5.76133,4.96677,44.58995,5.49768,11.9423,20.19585,5.95738,2.081205,1.221335,3.98829,12.176,1.95013,3.89626,5.04554,15.8873
PTGS2,0.258346,3.68057,0.6633075,1.83687,1.071285,0.217196,1.07924,0.18537,6.448545,0.599218,10.68215,0.3711235,0.161645,11.9845,0.3328075,0.1960095,1.475945,0.5591245,0.1024352,0.28822,0.58599,3.26917,0.899429,0.66956,8.73342,0.0406871,0.546959,3.84226
SAT1,138.732,751.675,235.706,544.295,923.8265,710.216,468.4085,349.3165,103.2725,87.8026,254.231,481.371,405.019,496.872,335.9025,1077.81,518.5905,521.375,473.476,256.9725,233.557,461.8605,305.393,174.672,75.4595,143.356,248.893,347.203
SLC3A2,166.508,202.623,253.4105,240.058,490.853,316.1325,324.0095,114.754,90.49625,138.2535,75.24995,97.5057,211.6935,180.983,449.3685,157.8455,88.34215,119.022,603.8455,270.9175,287.6865,186.102,156.7635,368.123,203.057,279.094,542.123,69.1946
SLC7A11,2.248215,0.0247098,0.6231095,0.0549017,1.433615,22.69195,4.6386,1.66758,2.236535,4.12994,0.402375,0.2104325,0.0656854,1.30573,1.84658,0.4441115,0.864331,0.700071,0.06710405,0.4544885,0.09174565,1.12791,2.477205,1.11676,1.39634,13.9763,0.407531,3.38673
SOD1,297.1045,602.8465,182.8895,320.59,379.0045,219.272,228.9275,326.358,447.6125,173.246,227.444,159.387,217.822,294.096,307.102,228.0035,173.1935,267.765,352.566,78.95415,64.5654,134.3465,164.801,165.311,155.072,130.124,392.977,214.515
SOD2,67.5342,240.649,49.5116,27.9218,73.3424,28.16055,204.914,84.476,72.79925,33.9511,159.778,85.25405,60.7409,290.967,26.51195,162.793,110.043,77.9422,30.04325,87.82785,77.0102,352.409,94.40175,64.9074,21.289,37.7974,61.4652,103.462
