,FerroScore,Immune_Score,FerroImmuno_Score
Pt1_Pre_AD101148-6,0.6632714059219943,0.6517217448867928,0.6586515415079137
Pt1_On_AD174047-6,0.6514034834509411,0.4018799381774092,0.5515940653415283
Pt10_Pre_E9047565-6,0.6498467012588537,0.2111456612677061,0.47436628526239466
Pt10_On_E9047632-6,0.5174341464110819,0.4206774376139215,0.4787314628922177
Pt101_Pre_AD486328-5,0.80586036355513,0.7980189677002542,0.8027238052131797
Pt101_On_AD681975-5,0.8956707845676661,0.8025944062394594,0.8584402332363834
Pt103_Pre_AE134058-2,0.4974586368774828,0.7251688035385867,0.5885427035419244
Pt103_On_AE134059-6,0.8084642257607624,0.30425267710780346,0.6067796062995788
Pt105_On_AE373241-6,0.5507179287406386,0.783707128817489,0.6439136087713788
Pt106_Pre_AD502250-5,0.8048176576881477,0.5222967065257126,0.6918092772231736
Pt106_On_AD513626-6,0.8048180900624233,0.5087000351074241,0.6863708680804237
Pt108_On_AE373243-6,0.7974937190217666,0.49825720071396873,0.6777991116986475
Pt109_On_AE527955-5,0.7350607783253208,0.5795489823114655,0.6728560599197786
Pt109_On_AE527955-6,0.7761929873759246,0.5144006275494151,0.6714760434453207
Pt11_Pre_AD153352-6,0.7434718178487753,0.6591084173919419,0.7097264576660419
Pt11_On_AD314068-6,0.7534411186460332,0.6880919291531938,0.7273014428488975
Pt13_On_AD314067-6,0.859004009814273,0.7513153689489016,0.8159285534681244
Pt16_On_AD167378-6,0.6114974255501217,0.074557370582394,0.3967214035630306
Pt17_Pre_E9047563-6,0.6108558660541982,0.10941733096121439,0.41028045201700464
Pt17_On_E9261162-5,0.593475951696502,0.11742784244576984,0.4030567079962092
Pt18_Pre_E9024732-6,0.9999999999999999,0.6379770641721482,0.8551908256688592
Pt18_On_E9261163-5,0.8532196923517212,0.7755297268799152,0.8221437061629988
Pt2_Pre_AD101150-6,0.8806684459160463,0.6841762276090364,0.8020715585932423
Pt2_On_AD174046-6,0.6994852901680233,0.6517316511068003,0.6803838345435341
Pt23_Pre_AD313075-5,0.7405616902700105,0.555552671018153,0.6665580825692674
Pt23_On_AD486568-8,0.7458773814131965,0.6242314219305349,0.6972189976201318
Pt24_Pre_AD436687-5,0.42771911835137455,0.5753606915702907,0.48677574763894105
Pt26_Pre_AD467789-6,0.8412745456589629,0.29077525740530263,0.6210748303574988
Pt26_On_AD467915-5,0.8908986025912384,0.2189572917601003,0.6221220782587831
